                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.74664,                0.52417,                 1.0966,                0.99426,                      1,                  0.995,                0.82129,                0.74159,                0.40554,                 0.9094,              0.0006338,              0.0006338,              0.0006338
                     71,                0.72092,                0.52293,                 1.0582,                0.99389,                      1,                  0.995,                0.81423,                0.77728,                 0.4206,                0.90342,               0.000614,               0.000614,               0.000614
                     72,                0.71201,                0.48582,                  1.064,                0.99449,                      1,                  0.995,                0.84513,                 0.6397,                0.42666,                0.86104,              0.0005942,              0.0005942,              0.0005942
                     73,                 0.7278,                0.47596,                 1.0932,                0.99464,                      1,                  0.995,                0.83044,                0.65421,                0.41601,                0.87554,              0.0005744,              0.0005744,              0.0005744
                     74,                0.69751,                0.46454,                 1.0543,                0.99382,                      1,                  0.995,                 0.8159,                0.67745,                0.41091,                0.88641,              0.0005546,              0.0005546,              0.0005546
                     75,                0.72188,                0.49515,                 1.0758,                0.99396,                      1,                  0.995,                0.84421,                0.66631,                0.35792,                0.88758,              0.0005348,              0.0005348,              0.0005348
                     76,                0.73269,                0.50018,                 1.0846,                0.99362,                      1,                  0.995,                0.81454,                0.72498,                0.36642,                0.90114,               0.000515,               0.000515,               0.000515
                     77,                0.69713,                0.49441,                 1.0663,                0.99444,                      1,                  0.995,                0.80458,                0.77621,                 0.3531,                0.91466,              0.0004952,              0.0004952,              0.0004952
                     78,                0.69133,                0.46034,                 1.0487,                0.99504,                      1,                  0.995,                0.82654,                0.73668,                0.35992,                0.90148,              0.0004754,              0.0004754,              0.0004754
                     79,                0.70173,                0.49425,                 1.0597,                0.99501,                      1,                  0.995,                0.84622,                0.68131,                0.34711,                0.88024,              0.0004556,              0.0004556,              0.0004556
                     80,                0.67331,                 0.4851,                 1.0625,                0.99472,                      1,                  0.995,                0.83814,                 0.6623,                0.34179,                0.86628,              0.0004358,              0.0004358,              0.0004358
                     81,                0.68188,                0.49574,                 1.0851,                0.99394,                      1,                  0.995,                0.81789,                0.69355,                0.35971,                 0.8821,               0.000416,               0.000416,               0.000416
                     82,                0.64501,                0.45992,                 1.0319,                0.99275,                      1,                  0.995,                0.79537,                 0.7631,                0.37127,                0.90683,              0.0003962,              0.0003962,              0.0003962
                     83,                0.69663,                 0.4697,                 1.0746,                0.98953,                      1,                  0.995,                0.85427,                0.56761,                0.34171,                0.86616,              0.0003764,              0.0003764,              0.0003764
                     84,                0.67309,                0.45546,                 1.0408,                0.98864,                      1,                  0.995,                0.88349,                0.54957,                0.32865,                0.84982,              0.0003566,              0.0003566,              0.0003566
                     85,                0.65022,                0.46705,                 1.0358,                 0.9901,                      1,                  0.995,                0.86452,                0.61349,                0.32839,                0.85898,              0.0003368,              0.0003368,              0.0003368
                     86,                0.67578,                0.48196,                 1.0573,                0.99002,                      1,                  0.995,                0.86016,                0.60981,                0.33008,                0.85889,               0.000317,               0.000317,               0.000317
                     87,                0.66657,                0.44958,                 1.0422,                0.98942,                      1,                  0.995,                0.88535,                0.57141,                0.33087,                0.85299,              0.0002972,              0.0002972,              0.0002972
                     88,                0.62792,                0.43837,                 1.0278,                0.99106,                      1,                  0.995,                0.89193,                0.57586,                0.34873,                0.84332,              0.0002774,              0.0002774,              0.0002774
                     89,                0.67298,                0.45621,                 1.0491,                0.99367,                      1,                  0.995,                0.87576,                0.61995,                0.35601,                0.85384,              0.0002576,              0.0002576,              0.0002576
                     90,                 0.6906,                0.51835,                 1.1003,                0.99434,                      1,                  0.995,                0.86496,                0.67023,                0.34795,                0.87061,              0.0002378,              0.0002378,              0.0002378
                     91,                0.51861,                0.37153,                0.96146,                0.99319,                      1,                  0.995,                0.84873,                0.69148,                0.33848,                0.88492,               0.000218,               0.000218,               0.000218
                     92,                0.48443,                0.33067,                0.93272,                0.99266,                      1,                  0.995,                0.87316,                0.67059,                0.33879,                0.87981,              0.0001982,              0.0001982,              0.0001982
                     93,                 0.4551,                0.31687,                0.90598,                0.99232,                      1,                  0.995,                0.87653,                0.59865,                0.32879,                0.86447,              0.0001784,              0.0001784,              0.0001784
                     94,                 0.4723,                0.30551,                0.92887,                0.99271,                      1,                  0.995,                0.87729,                0.58347,                0.32596,                0.86033,              0.0001586,              0.0001586,              0.0001586
                     95,                0.41739,                0.28224,                0.90116,                0.99341,                      1,                  0.995,                0.86656,                 0.6163,                0.32155,                0.86926,              0.0001388,              0.0001388,              0.0001388
                     96,                0.44251,                0.28936,                0.90867,                0.99394,                      1,                  0.995,                 0.8659,                0.64361,                0.31845,                0.87536,               0.000119,               0.000119,               0.000119
                     97,                0.44887,                0.29017,                0.94049,                0.99423,                      1,                  0.995,                0.85791,                0.66078,                0.32311,                0.87777,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.41924,                0.29409,                0.90342,                0.99441,                      1,                  0.995,                0.88575,                0.65745,                0.32269,                0.87792,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.43578,                0.27802,                0.89292,                 0.9947,                      1,                  0.995,                0.88682,                0.66007,                 0.3124,                0.87942,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.45951,                0.29746,                 0.9112,                0.99475,                      1,                  0.995,                0.88648,                0.64764,                0.31314,                0.87315,               3.98e-05,               3.98e-05,               3.98e-05
